number,value,datetime_start,datetime_complete,duration,params_dropout_0,params_dropout_1,params_dropout_2,params_hidden_0,params_hidden_1,params_learning_rate,params_weight_decay,state
67,0.3950368058175815,2025-04-01 11:38:07.062114,2025-04-01 11:38:18.561820,0 days 00:00:11.499706,0.27721311027160916,0.2141894293427401,0.33320771817534256,429,320,0.004226324560209674,5.34758626358325e-05,PRUNED
68,0.5429758326580079,2025-04-01 11:38:18.562613,2025-04-01 11:38:30.734186,0 days 00:00:12.171573,0.15496462650290002,0.15893148613497646,0.31872742663064135,333,256,0.0029171603415578513,8.380841928750803e-05,COMPLETE
69,0.6114645861035785,2025-04-01 11:38:30.735651,2025-04-01 11:38:43.071814,0 days 00:00:12.336163,0.25248226929041157,0.1165127877406184,0.3118012158949102,493,288,0.006024492385839687,0.00016103305594868578,PRUNED
70,0.3211065864719881,2025-04-01 11:38:43.072364,2025-04-01 11:38:54.956195,0 days 00:00:11.883831,0.2242975488744669,0.16434263360108367,0.39148499671004333,333,256,0.005508277658012437,0.00011848996563102337,PRUNED
71,0.4784029583998637,2025-04-01 11:38:54.956998,2025-04-01 11:39:06.836242,0 days 00:00:11.879244,0.22249123625573466,0.18053715316017568,0.4245143949945762,429,256,0.00410642045559764,8.03552415224589e-05,PRUNED
72,0.4657594040138606,2025-04-01 11:39:06.836765,2025-04-01 11:39:18.518809,0 days 00:00:11.682044,0.23060583325775202,0.22067910649730654,0.3787421298906375,365,288,0.004168850279592708,0.00010466169887206832,PRUNED
73,0.43840923854467884,2025-04-01 11:39:18.519434,2025-04-01 11:39:30.527107,0 days 00:00:12.007673,0.1919050478360774,0.17499038593452815,0.3920802193108053,429,256,0.002635724046828709,0.00011865697669561314,PRUNED
74,0.45672794058336785,2025-04-01 11:39:30.527631,2025-04-01 11:39:42.964193,0 days 00:00:12.436562,0.27407970827329403,0.16591865175716855,0.36212767997652046,397,384,0.003796147648603295,4.668638586987971e-05,PRUNED
75,0.48029344018121656,2025-04-01 11:39:42.964947,2025-04-01 11:39:55.315694,0 days 00:00:12.350747,0.2180064606036841,0.155582728435158,0.3970826135809047,365,256,0.003162487247418354,9.402133401086663e-05,PRUNED
76,0.39712287289942216,2025-04-01 11:39:55.316241,2025-04-01 11:40:07.321240,0 days 00:00:12.004999,0.20941996367288818,0.1793337690911928,0.33692752495097306,365,256,0.0032096024095008215,0.0001266690877303497,PRUNED
77,0.4807244628647428,2025-04-01 11:40:07.321999,2025-04-01 11:40:18.553887,0 days 00:00:11.231888,0.22993717741017375,0.178615055380373,0.45073223139032625,333,256,0.0028300713064669048,0.00016993025534631613,PRUNED
78,0.5753060662355631,2025-04-01 11:40:18.554450,2025-04-01 11:40:30.575544,0 days 00:00:12.021094,0.2044719891529162,0.2008784184732903,0.3453774688759582,461,256,0.005850011963940991,0.00010519142079304508,PRUNED
79,0.32563575251491006,2025-04-01 11:40:30.576900,2025-04-01 11:40:41.812723,0 days 00:00:11.235823,0.14534440896441916,0.1563446868597881,0.4367981718258466,365,320,0.0036560077497644304,0.0001503810209280755,PRUNED
80,0.4966378367680687,2025-04-01 11:40:41.813265,2025-04-01 11:40:53.571539,0 days 00:00:11.758274,0.1479783039998005,0.16835295364049718,0.43605526147557383,333,256,0.0061642178480160745,8.055121815978021e-05,PRUNED
81,0.648891454295884,2025-04-01 11:40:53.572359,2025-04-01 11:41:06.084191,0 days 00:00:12.511832,0.220556037413106,0.13980995158979792,0.430063294779982,365,320,0.003843725046389256,6.71593095919446e-05,PRUNED
82,0.4031535282264199,2025-04-01 11:41:06.084739,2025-04-01 11:41:17.314141,0 days 00:00:11.229402,0.2429884382781307,0.18383855380797526,0.4516323600136338,333,320,0.0022825455126400085,0.00010867679690643587,PRUNED
83,0.39717779192189806,2025-04-01 11:41:17.314743,2025-04-01 11:41:28.764586,0 days 00:00:11.449843,0.20231448221285267,0.1475227475757841,0.49509118554908105,333,288,0.0030346281416011606,9.41713501256656e-05,PRUNED
84,0.4034947093156327,2025-04-01 11:41:28.765142,2025-04-01 11:41:40.092473,0 days 00:00:11.327331,0.3271106397687743,0.1626909870313782,0.35398359181674904,365,352,0.0024049434657153414,4.800616637795625e-05,PRUNED
85,0.3753729329112908,2025-04-01 11:41:40.093009,2025-04-01 11:41:51.488749,0 days 00:00:11.395740,0.21108454767686702,0.18454525041838982,0.4464276080101362,365,288,0.003130224270555829,5.929098646716547e-05,PRUNED
86,0.07787191143438565,2025-04-01 11:41:51.489374,2025-04-01 11:42:03.289861,0 days 00:00:11.800487,0.2615213170888607,0.1701154843840045,0.3391233375569814,493,256,0.005532291644300356,0.00015938273540155607,PRUNED
87,0.06532184540289798,2025-04-01 11:42:03.290433,2025-04-01 11:42:14.568403,0 days 00:00:11.277970,0.19140435806840217,0.1373550728095761,0.42116900738352386,397,288,0.007504921205962358,0.00012123683883150143,PRUNED
88,0.49087627525660693,2025-04-01 11:42:14.569002,2025-04-01 11:42:25.904865,0 days 00:00:11.335863,0.24012351131310802,0.16338132592788265,0.4306454557540387,333,288,0.0029521359777164888,7.2073720594838e-05,PRUNED
89,0.4982863343442352,2025-04-01 11:42:25.905441,2025-04-01 11:42:38.025878,0 days 00:00:12.120437,0.2745237937149515,0.10051539979453875,0.3511979605370894,429,288,0.008360744423384628,0.00015626072171760525,PRUNED
90,0.5613521906928622,2025-04-01 11:42:38.026642,2025-04-01 11:42:49.527862,0 days 00:00:11.501220,0.19026423787030644,0.1754805324398906,0.33576117547895745,429,256,0.008915564544384465,0.0001488531146726977,PRUNED
91,0.5776920850534106,2025-04-01 11:42:49.528391,2025-04-01 11:43:01.440022,0 days 00:00:11.911631,0.19060249597749204,0.20347419726851929,0.3316160561050998,429,256,0.006214692044592002,0.00015930563535932076,PRUNED
92,0.3332843780254414,2025-04-01 11:43:01.440864,2025-04-01 11:43:12.809678,0 days 00:00:11.368814,0.3069502259117956,0.1289627701117673,0.30666582721551217,397,288,0.00806744019024907,0.00016544008899870949,PRUNED
93,0.7481886882791613,2025-04-01 11:43:12.810214,2025-04-01 11:43:26.160799,0 days 00:00:13.350585,0.22950535290571672,0.23902668574713323,0.32152505965199835,461,256,0.006995543641976968,0.00014639221096267795,COMPLETE
94,0.47974836265878784,2025-04-01 11:43:26.161537,2025-04-01 11:43:37.487556,0 days 00:00:11.326019,0.22771032475560313,0.2295456640886788,0.3222579454243102,461,288,0.008979778330620419,0.0001445730721025555,PRUNED
95,0.40030773431078603,2025-04-01 11:43:37.488107,2025-04-01 11:43:48.705071,0 days 00:00:11.216964,0.21675977436770774,0.22422529741708058,0.34033423844994826,493,256,0.005770263482437753,0.0001703796547127522,PRUNED
96,0.4813575086983197,2025-04-01 11:43:48.705903,2025-04-01 11:44:00.034802,0 days 00:00:11.328899,0.23894722049140377,0.23664164014044184,0.3125782818013107,461,256,0.005733141979851356,0.00010392327207115597,PRUNED
97,0.7567662442019931,2025-04-01 11:44:00.035359,2025-04-01 11:44:13.068097,0 days 00:00:13.032738,0.24397026162201735,0.14007617851027715,0.32735888723297024,461,256,0.007993710733699484,0.00014600432867515004,COMPLETE
98,0.4008959417234965,2025-04-01 11:44:13.068729,2025-04-01 11:44:24.514686,0 days 00:00:11.445957,0.24233799190617783,0.14486873787439117,0.3024303636223398,461,288,0.008822083335278997,0.00015233200939412697,PRUNED
99,0.5575930981147024,2025-04-01 11:44:24.515492,2025-04-01 11:44:36.689584,0 days 00:00:12.174092,0.23919200058074253,0.23974218822141513,0.38888663343473756,429,256,0.006501685648415102,0.00013763901140122673,PRUNED
